Nome,id,forca,resistencia,elemento,mente,aceleracao,mobilidade
seadra,117,28,0,0,0,0,0
goldeen,118,33,0,0,0,0,0
seaking,119,43,0,0,0,0,0
staryu,120,27,0,0,0,0,0
starmie,121,46,0,0,0,0,0
mr-mime,122,41,0,0,0,0,0
scyther,123,65,0,0,0,0,0
jynx,124,71,0,0,0,0,0
electabuzz,125,74,0,0,0,0,0
magmar,126,74,0,0,0,0,0
pinsir,127,72,0,0,0,0,0
tauros,128,100,0,0,0,0,0
magikarp,129,20,0,0,0,0,0
gyarados,130,132,0,0,0,0,0
lapras,131,93,0,0,0,0,0
ditto,132,12,0,0,0,0,0
eevee,133,26,0,0,0,0,0
vaporeon,134,55,0,0,0,0,0
jolteon,135,55,0,0,0,0,0
flareon,136,55,0,0,0,0,0
porygon,137,30,30,30,30,30,30
omanyte,138,21,0,0,0,0,0
omastar,139,52,0,0,0,0,0
kabuto,140,23,0,0,0,0,0
kabutops,141,75,0,0,0,0,0
aerodactyl,142,87,0,0,0,0,0
snorlax,143,120,0,0,0,0,0
articuno,144,70,0,0,0,0,0
zapdos,145,70,0,0,0,0,0
moltres,146,70,0,0,0,0,0
dratini,147,20,0,0,0,0,0
dragonair,148,44,0,0,0,0,0
dragonite,149,105,0,0,0,0,0
mewtwo,150,74,0,0,0,0,0
mew,151,32,0,0,0,0,0
chikorita,152,26,0,0,0,0,0
bayleef,153,56,0,0,0,0,0
meganium,154,82,0,0,0,0,0
cyndaquil,155,26,0,0,0,0,0
quilava,156,47,0,0,0,0,0
typhlosion,157,74,0,0,0,0,0
totodile,158,29,0,0,0,0,0
croconaw,159,69,0,0,0,0,0
feraligatr,160,98,0,0,0,0,0
sentret,161,25,0,0,0,0,0
furret,162,42,0,0,0,0,0
hoothoot,163,22,0,0,0,0,0
noctowl,164,41,0,0,0,0,0
ledyba,165,23,0,0,0,0,0
ledian,166,32,0,0,0,0,0
spinarak,167,23,0,0,0,0,0
ariados,168,54,0,0,0,0,0
crobat,169,54,0,0,0,0,0
chinchou,170,20,0,0,0,0,0
lanturn,171,36,0,0,0,0,0
pichu,172,16,0,0,0,0,0
cleffa,173,13,0,0,0,0,0
igglybuff,174,12,0,0,0,0,0
togepi,175,12,0,0,0,0,0
togetic,176,28,0,0,0,0,0
natu,177,18,0,0,0,0,0
xatu,178,38,0,0,0,0,0
mareep,179,25,0,0,0,0,0
flaaffy,180,32,0,0,0,0,0
ampharos,181,42,0,0,0,0,0
bellossom,182,39,0,0,0,0,0
marill,183,27,0,0,0,0,0
azumarill,184,43,0,0,0,0,0
sudowoodo,185,69,0,0,0,0,0
politoed,186,49,0,0,0,0,0
hoppip,187,21,0,0,0,0,0
skiploom,188,27,0,0,0,0,0
jumpluff,189,30,0,0,0,0,0
aipom,190,36,0,0,0,0,0
sunkern,191,10,0,0,0,0,0
sunflora,192,24,0,0,0,0,0
yanma,193,36,0,0,0,0,0
wooper,194,17,0,0,0,0,0
quagsire,195,45,0,0,0,0,0
espeon,196,55,0,0,0,0,0
umbreon,197,55,0,0,0,0,0
murkrow,198,24,0,0,0,0,0
slowking,199,42,0,0,0,0,0
misdreavus,200,22,0,0,0,0,0
unown,201,10,10,0,0,0,0
wobbuffet,202,41,0,0,0,0,0
girafarig,203,53,0,0,0,0,0
pineco,204,25,0,0,0,0,0
forretress,205,69,0,0,0,0,0
dunsparce,206,19,0,0,0,0,0
gligar,207,34,0,0,0,0,0
steelix,208,142,0,0,0,0,0
snubbull,209,27,0,0,0,0,0
granbull,210,66,0,0,0,0,0
qwilfish,211,29,0,0,0,0,0
scizor,212,73,0,0,0,0,0
shuckle,213,14,0,0,0,0,0
heracross,214,86,0,0,0,0,0
sneasel,215,52,0,0,0,0,0
teddiursa,216,28,0,0,0,0,0
ursaring,217,82,0,0,0,0,0
slugma,218,25,0,0,0,0,0
magcargo,219,38,0,0,0,0,0
swinub,220,23,0,0,0,0,0
piloswine,221,77,0,0,0,0,0
corsola,222,24,0,0,0,0,0
remoraid,223,12,0,0,0,0,0
octillery,224,46,0,0,0,0,0
delibird,225,34,0,0,0,0,0
mantine,226,44,0,0,0,0,0
skarmory,227,79,0,0,0,0,0
houndour,228,34,0,0,0,0,0
houndoom,229,73,0,0,0,0,0
kingdra,230,48,0,0,0,0,0
phanpy,231,29,0,0,0,0,0
donphan,232,77,0,0,0,0,0
porygon2,233,50,50,50,50,50,50
stantler,234,65,0,0,0,0,0
smeargle,235,34,0,0,0,0,0
tyrogue,236,28,0,0,0,0,0
hitmontop,237,75,0,0,0,0,0
smoochum,238,17,0,0,0,0,0
elekid,239,23,0,0,0,0,0
magby,240,22,0,0,0,0,0
miltank,241,68,0,0,0,0,0
blissey,242,40,0,0,0,0,0
raikou,243,130,0,0,0,0,0
entei,244,130,0,0,0,0,0
suicune,245,130,0,0,0,0,0
larvitar,246,31,0,0,0,0,0
pupitar,247,52,0,0,0,0,0
tyranitar,248,140,0,0,0,0,0
lugia,249,110,0,0,0,0,0
ho-oh,250,80,0,0,0,0,0
celebi,251,30,0,0,0,0,0
treecko,252,29,0,0,0,0,0
grovyle,253,62,0,0,0,0,0
sceptile,254,84,0,0,0,0,0
torchic,255,21,0,0,0,0,0
combusken,256,72,0,0,0,0,0
blaziken,257,95,0,0,0,0,0
mudkip,258,25,0,0,0,0,0
marshtomp,259,43,0,0,0,0,0
swampert,260,89,0,0,0,0,0
poochyena,261,27,0,0,0,0,0
mightyena,262,72,0,0,0,0,0
zigzagoon,263,25,25,25,25,25,25
linoone,264,58,0,0,0,0,0
wurmple,265,11,0,0,0,0,0
silcoon,266,21,0,0,0,0,0
beautifly,267,25,0,0,0,0,0
cascoon,268,22,0,0,0,0,0
dustox,269,29,0,0,0,0,0
lotad,270,14,0,0,0,0,0
lombre,271,37,0,0,0,0,0
ludicolo,272,61,0,0,0,0,0
seedot,273,12,0,0,0,0,0
nuzleaf,274,39,0,0,0,0,0
shiftry,275,66,0,0,0,0,0
taillow,276,22,0,0,0,0,0
swellow,277,48,0,0,0,0,0
wingull,278,18,0,0,0,0,0
pelipper,279,47,0,0,0,0,0
ralts,280,21,0,0,0,0,0
kirlia,281,28,0,0,0,0,0
gardevoir,282,39,0,0,0,0,0
surskit,283,18,0,0,0,0,0
masquerain,284,34,0,0,0,0,0
shroomish,285,24,0,0,0,0,0
breloom,286,64,0,0,0,0,0
slakoth,287,33,0,0,0,0,0
vigoroth,288,63,0,0,0,0,0
slaking,289,135,0,0,0,0,0
nincada,290,33,0,0,0,0,0
ninjask,291,48,0,0,0,0,0
shedinja,292,20,0,0,0,0,0
whismur,293,21,0,0,0,0,0
loudred,294,51,0,0,0,0,0
exploud,295,71,0,0,0,0,0
makuhita,296,37,0,0,0,0,0
hariyama,297,97,0,0,0,0,0
azurill,298,13,0,0,0,0,0
nosepass,299,40,0,0,0,0,0
skitty,300,24,0,0,0,0,0
delcatty,301,44,0,0,0,0,0
sableye,302,37,0,0,0,0,0
mawile,303,51,0,0,0,0,0
aron,304,32,0,0,0,0,0
lairon,305,72,0,0,0,0,0
aggron,306,122,0,0,0,0,0
meditite,307,30,0,0,0,0,0
medicham,308,60,0,0,0,0,0
electrike,309,29,0,0,0,0,0
manectric,310,47,0,0,0,0,0
plusle,311,23,0,0,0,0,0
minun,312,23,0,0,0,0,0
volbeat,313,33,0,0,0,0,0
illumise,314,33,0,0,0,0,0
roselia,315,36,0,0,0,0,0
gulpin,316,34,0,0,0,0,0
swalot,317,64,0,0,0,0,0
carvanha,318,32,0,0,0,0,0
sharpedo,319,72,0,0,0,0,0
wailmer,320,38,0,0,0,0,0
wailord,321,48,0,0,0,0,0
numel,322,37,0,0,0,0,0
camerupt,323,67,0,0,0,0,0
torkoal,324,51,0,0,0,0,0
spoink,325,27,0,0,0,0,0
grumpig,326,37,0,0,0,0,0
spinda,327,33,0,0,0,0,0
trapinch,328,34,0,0,0,0,0
vibrava,329,40,0,0,0,0,0
flygon,330,60,0,0,0,0,0
cacnea,331,28,0,0,0,0,0
cacturne,332,68,0,0,0,0,0
swablu,333,22,0,0,0,0,0
altaria,334,66,0,0,0,0,0
zangoose,335,74,0,0,0,0,0
seviper,336,73,0,0,0,0,0
lunatone,337,65,0,0,0,0,0
solrock,338,65,0,0,0,0,0
barboach,339,24,0,0,0,0,0
whiscash,340,44,0,0,0,0,0
corphish,341,32,0,0,0,0,0
crawdaunt,342,76,0,0,0,0,0
baltoy,343,24,0,0,0,0,0
claydol,344,54,0,0,0,0,0
lileep,345,26,0,0,0,0,0
cradily,346,46,0,0,0,0,0
anorith,347,33,0,0,0,0,0
armaldo,348,77,0,0,0,0,0
feebas,349,22,0,0,0,0,0
milotic,350,66,0,0,0,0,0
castform,351,30,30,60,30,30,30
kecleon,352,45,0,0,0,0,0
shuppet,353,20,0,0,0,0,0
banette,354,40,0,0,0,0,0
duskull,355,18,0,0,0,0,0
dusclops,356,65,0,0,0,0,0
tropius,357,58,0,0,0,0,0
chimecho,358,12,0,0,0,0,0
absol,359,71,0,0,0,0,0
wynaut,360,10,0,0,0,0,0
snorunt,361,14,0,0,0,0,0
glalie,362,48,0,0,0,0,0
spheal,363,28,0,0,0,0,0
sealeo,364,48,0,0,0,0,0
walrein,365,68,0,0,0,0,0
clamperl,366,16,0,0,0,0,0
huntail,367,56,0,0,0,0,0
gorebyss,368,38,0,0,0,0,0
relicanth,369,50,0,0,0,0,0
luvdisc,370,28,0,0,0,0,0
bagon,371,29,0,0,0,0,0
shelgon,372,49,0,0,0,0,0
salamence,373,109,0,0,0,0,0
beldum,374,10,0,0,0,0,0
metang,375,45,0,0,0,0,0
metagross,376,80,0,0,0,0,0
regirock,377,200,200,200,0,0,0
regice,378,200,150,250,0,0,0
registeel,379,200,250,150,0,0,0
latias,380,130,0,0,0,0,0
latios,381,130,0,0,0,0,0
kyogre,382,220,0,0,0,0,0
groudon,383,320,0,0,0,0,0
rayquaza,384,300,0,0,0,0,0
jirachi,385,80,0,0,0,0,0
deoxys-normal,386,200,200,200,200,200,200
turtwig,387,0,0,0,0,0,0
grotle,388,0,0,0,0,0,0
torterra,389,0,0,0,0,0,0
chimchar,390,0,0,0,0,0,0
monferno,391,0,0,0,0,0,0
infernape,392,0,0,0,0,0,0
piplup,393,0,0,0,0,0,0
prinplup,394,0,0,0,0,0,0
empoleon,395,0,0,0,0,0,0
starly,396,0,0,0,0,0,0
staravia,397,0,0,0,0,0,0
staraptor,398,0,0,0,0,0,0
bidoof,399,0,0,0,0,0,0
bibarel,400,0,0,0,0,0,0
kricketot,401,0,0,0,0,0,0
kricketune,402,0,0,0,0,0,0
shinx,403,0,0,0,0,0,0
luxio,404,0,0,0,0,0,0
luxray,405,0,0,0,0,0,0
budew,406,0,0,0,0,0,0
roserade,407,0,0,0,0,0,0
cranidos,408,0,0,0,0,0,0
rampardos,409,0,0,0,0,0,0
shieldon,410,0,0,0,0,0,0
bastiodon,411,0,0,0,0,0,0
burmy,412,0,0,0,0,0,0
wormadam-plant,413,0,0,0,0,0,0
mothim,414,0,0,0,0,0,0
combee,415,0,0,0,0,0,0
vespiquen,416,0,0,0,0,0,0
pachirisu,417,0,0,0,0,0,0
buizel,418,0,0,0,0,0,0
floatzel,419,0,0,0,0,0,0
cherubi,420,0,0,0,0,0,0
cherrim,421,0,0,0,0,0,0
shellos,422,0,0,0,0,0,0
gastrodon,423,0,0,0,0,0,0
ambipom,424,0,0,0,0,0,0
drifloon,425,0,0,0,0,0,0
drifblim,426,0,0,0,0,0,0
buneary,427,0,0,0,0,0,0
lopunny,428,0,0,0,0,0,0
mismagius,429,0,0,0,0,0,0
honchkrow,430,0,0,0,0,0,0
glameow,431,0,0,0,0,0,0
purugly,432,0,0,0,0,0,0
chingling,433,0,0,0,0,0,0
stunky,434,0,0,0,0,0,0
skuntank,435,0,0,0,0,0,0
bronzor,436,0,0,0,0,0,0
bronzong,437,0,0,0,0,0,0
bonsly,438,0,0,0,0,0,0
mime-jr,439,0,0,0,0,0,0
happiny,440,0,0,0,0,0,0
chatot,441,0,0,0,0,0,0
spiritomb,442,0,0,0,0,0,0
gible,443,0,0,0,0,0,0
gabite,444,0,0,0,0,0,0
garchomp,445,0,0,0,0,0,0
munchlax,446,0,0,0,0,0,0
riolu,447,0,0,0,0,0,0
lucario,448,0,0,0,0,0,0
hippopotas,449,0,0,0,0,0,0
hippowdon,450,0,0,0,0,0,0
skorupi,451,0,0,0,0,0,0
drapion,452,0,0,0,0,0,0
croagunk,453,0,0,0,0,0,0
toxicroak,454,0,0,0,0,0,0
carnivine,455,0,0,0,0,0,0
finneon,456,0,0,0,0,0,0
lumineon,457,0,0,0,0,0,0
mantyke,458,0,0,0,0,0,0
snover,459,0,0,0,0,0,0
abomasnow,460,0,0,0,0,0,0
weavile,461,0,0,0,0,0,0
magnezone,462,0,0,0,0,0,0
lickilicky,463,0,0,0,0,0,0
rhyperior,464,0,0,0,0,0,0
tangrowth,465,0,0,0,0,0,0
electivire,466,0,0,0,0,0,0
magmortar,467,0,0,0,0,0,0
togekiss,468,0,0,0,0,0,0
yanmega,469,0,0,0,0,0,0
leafeon,470,0,0,0,0,0,0
glaceon,471,0,0,0,0,0,0
gliscor,472,0,0,0,0,0,0
mamoswine,473,0,0,0,0,0,0
porygon-z,474,70,70,70,70,70,70
gallade,475,0,0,0,0,0,0
probopass,476,0,0,0,0,0,0
dusknoir,477,0,0,0,0,0,0
froslass,478,0,0,0,0,0,0
rotom,479,0,0,0,0,0,0
uxie,480,0,0,0,0,0,0
mesprit,481,0,0,0,0,0,0
azelf,482,0,0,0,0,0,0
dialga,483,0,0,0,0,0,0
palkia,484,0,0,0,0,0,0
heatran,485,0,0,0,0,0,0
regigigas,486,0,0,0,0,0,0
giratina-altered,487,0,0,0,0,0,0
cresselia,488,0,0,0,0,0,0
phione,489,0,0,0,0,0,0
manaphy,490,0,0,0,0,0,0
darkrai,491,0,0,0,0,0,0
shaymin-land,492,0,0,0,0,0,0
arceus,493,0,0,0,0,0,0
victini,494,0,0,0,0,0,0
